title,video_id,publishedAt
ピーターの反応 【Gleipnir】 2話 グレイプニル ep 2 アニメリアクション,-6xwM4ypR-Y,2020-04-15T08:00:01.000Z
【バイオハザード RE:3】 Hardcore Z-版 #11 ピーターの実況,6W8nYPhsj3k,2020-04-15T03:00:00.000Z
ピーターの反応 【かくしごと】 2話 Kakushigoto ep 2 アニメリアクション,wKdNErPQ19U,2020-04-14T09:00:21.000Z
"ピーターの反応 【波よ聞いてくれ】 1話 Wave, Listen to Me! ep 1アニメリアクション",U5yvX-2taDs,2020-04-14T08:00:13.000Z
【バイオハザード RE:3】 Hardcore Z-版 #10 ピーターの実況,PNzLv47nfYQ,2020-04-14T03:00:10.000Z
ピーターの反応 【はめふら】 2話 乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった ep 2 アニメリアクション,wO9W9MUjDnM,2020-04-13T09:00:34.000Z
ピーターの反応 【かぐや様は告らせたい】2期 1話 Kaguya-sama ss 2 ep 1 アニメリアクション,GnURdYhUgz0,2020-04-13T08:00:06.000Z
【バイオハザード RE:3】 Hardcore Z-版 #9 ピーターの実況,pbe1q0oz9Y0,2020-04-13T03:00:08.000Z
アニメ選別！【投スケ4月13日週】,F-XueNBzXHw,2020-04-13T00:16:13.000Z
【海外の反応 アニメ】 HELLSING OVA 7話 パート 1/2 アニメリアクション,y54r_j_lUD8,2020-04-12T06:00:08.000Z
【海外の反応 アニメ】 ヨルムンガンド 2期 3話 Jormungand ep ss2 3 アニメリアクション,po_U8aw9EBY,2020-04-12T03:00:13.000Z
【海外の反応 アニメ】 ロード エルメロイii 世の事件簿 2話 Lord El-Melloi ep 2 アニメリアクション,ohkvor07GX0,2020-04-12T00:00:11.000Z
ピーターの反応 【八男ってそれはないでしょう】 2話 8th son ep 2 アニメリアクション,oe_O2o2hj3c,2020-04-11T06:00:20.000Z
ピーターの反応 【富豪刑事】 1話 Fugo Keiji ep 1アニメリアクション,cJbUqgurJ0s,2020-04-11T03:00:06.000Z
ピーターの反応 【神之塔】 1話 Tower of God ep 1 アニメリアクション,MNoPvLal_Nc,2020-04-10T09:00:17.000Z
ピーターの反応 【BNA】 2話 アニメリアクション,KI08mcT9llg,2020-04-10T08:00:13.000Z
【海外の反応 アニメ】 夏目友人帳 8話  Natsume Book of Friends 8 アニメリアクション,Q-bCpxV9C-A,2020-04-09T09:00:24.000Z
【バイオハザード RE2】 #9 弾がないのにリッカーに愛されるのつらたん クレア実況  外人の日本語実況 【ピーター】【海外版】 Biohazard Resident Evil 2,3YGshI87Ses,2020-04-09T08:30:00.000Z
【バイオハザード RE:3】 Hardcore Z-版 #7 ピーターの実況,IKqMC8fkUMM,2020-04-09T03:00:00.000Z
ピーターの反応 【かくしごと】 1話 Kakushigoto ep 1 アニメリアクション,ZKfkQl2T340,2020-04-08T09:00:11.000Z
ピーターの反応 【たまよみ】 1話 球詠 Tamayomi ep 1 アニメリアクション,CRYfS3MJMX8,2020-04-08T08:43:29.000Z
【バイオハザード RE:3】 Hardcore Z-版 #6 ピーターの実況,qbWOepqnPhA,2020-04-08T03:00:12.000Z
ピーターの反応 【社長バトルの時間です】 1話 シャチバト ep 1アニメリアクション,lOKjTLP4SvA,2020-04-07T09:00:20.000Z
ピーターの反応 【Gleipnir】 1話 グレイプニル ep 1アニメリアクション,K-oQG9M-3nc,2020-04-07T08:00:10.000Z
【海外の反応 アニメ】 少女終末旅行 4話 Girls&#39; Last Tour ep 4 アニメリアクション,XN9apWNlEws,2020-04-07T03:00:13.000Z
【バイオハザード RE:3】 Hardcore Z-版 #5 ピーターの実況,apntHa0R2s8,2020-04-07T03:00:02.000Z
ピーターの反応 【はめふら】 1話 乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった ep 1アニメリアクション,UwRHRDvXwCw,2020-04-06T09:00:14.000Z
【海外の反応 アニメ】 僕のヒーローアカデミア 4期 25話 ヒロアカ My Hero Academia ss 4 ep 25 アニメリアクション,Kq7UaZ1oJSQ,2020-04-06T08:00:06.000Z
【バイオハザード RE:3】 Hardcore Z-版 #4 ピーターの実況,Njq3Pklb-4U,2020-04-06T04:07:07.000Z
ピーターの反応 【リスナーズ】 1話 Listeners ep 1アニメリアクション,_0XXT3HlcsM,2020-04-05T06:00:12.000Z
【海外の反応 アニメ】 ヨルムンガンド 2期 2話 Jormungand ep ss2 2 アニメリアクション,Q0jMVglAoNs,2020-04-05T03:00:12.000Z
【バイオハザード RE:3】 Hardcore Z-版 #3 ピーターの実況,Hcp4wLnvJNA,2020-04-05T03:00:07.000Z
ピーターの反応 【新サクラ大戦】 1話 New Sakura Wars ep 1 アニメリアクション,ItSt_BYv6lk,2020-04-04T06:21:28.000Z
【バイオハザード RE2】 #7 3メダルをやっと入手！ クレア実況  外人の日本語実況 【ピーター】 Biohazard Resident Evil 2,66112wxJGlU,2020-04-04T03:00:00.000Z
【バイオハザード RE:3】 Hardcore Z-版 #2 ピーターの実況,YNn7OuiyEFo,2020-04-04T00:00:19.000Z
【バイオハザード RE:3】 Hardcore Z-版 #1 ピーターの実況,vA4TyybooNA,2020-04-03T10:49:19.000Z
ピーターの反応 【八男ってそれはないでしょう】 1話 8th son ep 1 アニメリアクション,1p2asGxYga8,2020-04-03T08:20:57.000Z
ピーターの反応 【BNA】 1話 アニメリアクション,fKSQr2NGIhE,2020-04-03T03:00:17.000Z
【海外の反応 アニメ】 夏目友人帳 7話  Natsume Book of Friends 7 アニメリアクション,4gNLUIk6u5I,2020-04-02T09:00:00.000Z
【海外の反応 アニメ】 異世界かるてっと 2期 12話 Isekai Quartet ss 2 ep 12 アニメリアクション,6dGZfDkcZYg,2020-04-02T08:00:02.000Z
【海外の反応 アニメ】 HELLSING OVA 6話 パート 2/2 アニメリアクション,AgsPdB0-1HM,2020-04-01T09:00:04.000Z
【海外の反応 アニメ】 HELLSING OVA 6話 パート 1/2 アニメリアクション,J3MoIGytjSs,2020-04-01T08:00:08.000Z
【海外の反応 アニメ】 ロード エルメロイii 世の事件簿 1話 Lord El-Melloi ep 1 アニメリアクション,B-relImRCZc,2020-04-01T03:00:03.000Z
虚構推理とマギアレコードのアニメレビュー！後訳ありコンテンツ行方不明？？,bP_6Bemz9s0,2020-03-31T07:59:31.000Z
【海外の反応 アニメ】 少女終末旅行 3話 Girls&#39; Last Tour ep 3 アニメリアクション,2TLy37bq2Sw,2020-03-31T03:00:00.000Z
【海外の反応 アニメ】 ドロヘドロ 12話 Dorohedoro ep 12 アニメリアクション,v1pbiT6wD-E,2020-03-30T09:00:20.000Z
【海外の反応 アニメ】 僕のヒーローアカデミア 4期 24話 ヒロアカ My Hero Academia ss 4 ep 24 アニメリアクション,0x75bP22ldw,2020-03-30T08:00:00.000Z
【海外の反応 アニメ】 ヨルムンガンド 2期 1話 Jormungand ep ss2 1 アニメリアクション,snkUUblWDss,2020-03-29T03:00:13.000Z
【バイオハザード RE2】 #5 ヘリコプターは何にやられた？？ クレア実況  ブルーカギ手にしたぞ！ 外人の日本語実況 【ピーター】,3_QubhrhEHU,2020-03-28T06:00:00.000Z
【海外の反応 アニメ】 防振り 12話 痛いのは嫌なので防御力に極振りしたいと思います ep 12 アニメリアクション,uRqbn3d5mBM,2020-03-27T08:00:14.000Z
【海外の反応 アニメ】 異世界かるてっと 2期 11話 Isekai Quartet ss 2 ep 11 アニメリアクション,Qhrbhw2A_OI,2020-03-26T08:31:49.000Z
【海外の反応 アニメ】 HELLSING OVA 5話 パート 1/2 アニメリアクション,hrPHT0ZMxdQ,2020-03-25T08:00:08.000Z
【海外の反応 アニメ】 虚構推理 11話 In Spectre ep 11 アニメリアクション,b5quBxnLh9w,2020-03-24T09:00:13.000Z
【海外の反応 アニメ】 マギアレコード 12話 Magia Record ep 12 アニメリアクション,CUD1CuFjtoo,2020-03-24T08:00:02.000Z
